+-------------------+-------+
| num_cap_per_image | count |
|        312        |   20  |
|        297        |   19  |
|         84        |   18  |
|         91        |   18  |
|        306        |   17  |
|        300        |   17  |
|         86        |   17  |
|         81        |   16  |
|        308        |   16  |
|         90        |   16  |
|         80        |   16  |
|        305        |   14  |
|        317        |   13  |
|         88        |   13  |
|        307        |   13  |
|        320        |   12  |
|        315        |   12  |
|         75        |   12  |
|         74        |   12  |
|        327        |   12  |
|        321        |   11  |
|         85        |   11  |
|        323        |   10  |
|         82        |   10  |
|         76        |   10  |
|         83        |   10  |
|        311        |   10  |
|        309        |   9   |
|         77        |   9   |
|        310        |   8   |
|        331        |   8   |
|         73        |   8   |
|        304        |   8   |
|        314        |   8   |
|        318        |   7   |
|        324        |   7   |
|        319        |   7   |
|        316        |   7   |
|         67        |   6   |
|        313        |   6   |
|        337        |   6   |
|         78        |   6   |
|        333        |   5   |
|        326        |   5   |
|        322        |   5   |
|        325        |   5   |
|         79        |   5   |
|        335        |   5   |
|        330        |   4   |
|        334        |   4   |
|        329        |   4   |
|         65        |   4   |
|        372        |   3   |
|        332        |   3   |
|        367        |   3   |
|        354        |   3   |
|        338        |   3   |
|        336        |   3   |
|        328        |   3   |
|        342        |   2   |
|        343        |   2   |
|        357        |   2   |
|         51        |   2   |
|        352        |   2   |
|         68        |   2   |
|         69        |   2   |
|         66        |   2   |
|        349        |   2   |
|        348        |   2   |
|         70        |   2   |
|        347        |   2   |
|         71        |   2   |
|        345        |   2   |
|         72        |   2   |
|        344        |   2   |
|        384        |   2   |
|         58        |   1   |
|        360        |   1   |
|         62        |   1   |
|         45        |   1   |
|        371        |   1   |
|        361        |   1   |
|        363        |   1   |
|        392        |   1   |
|         52        |   1   |
|         57        |   1   |
|        380        |   1   |
|         49        |   1   |
|        390        |   1   |
|        377        |   1   |
|        346        |   1   |
|         55        |   1   |
|        382        |   1   |
|        417        |   1   |
|        365        |   1   |
|        350        |   1   |
|        428        |   1   |
|        376        |   1   |
|        370        |   1   |
|        359        |   1   |
|         46        |   1   |
|        351        |   1   |
|        379        |   1   |
|        355        |   1   |
|        385        |   1   |
|         56        |   1   |
+-------------------+-------+
