+---------------------+-----------+
| avg_sentence_length | Frequency |
|         3.6         |     4     |
|         9.17        |     4     |
|         9.71        |     4     |
|         26.5        |     4     |
|         4.83        |     4     |
|        11.17        |     4     |
|        10.17        |     4     |
|         37.0        |     4     |
|        15.75        |     4     |
|        17.25        |     4     |
|         38.0        |     4     |
|        23.67        |     3     |
|        10.83        |     3     |
|         28.5        |     3     |
|         3.4         |     3     |
|         44.0        |     3     |
|         13.8        |     3     |
|        20.67        |     3     |
|         5.17        |     3     |
|         7.14        |     3     |
|         42.0        |     3     |
|        11.83        |     3     |
|         14.2        |     3     |
|        21.67        |     3     |
|         6.29        |     3     |
|         9.14        |     3     |
|        23.33        |     3     |
|         7.71        |     3     |
|         5.86        |     3     |
|         13.2        |     3     |
|         8.86        |     2     |
|        10.29        |     2     |
|         46.0        |     2     |
|         14.8        |     2     |
|        17.75        |     2     |
|         6.57        |     2     |
|         3.33        |     2     |
|         6.71        |     2     |
|         29.5        |     2     |
|         3.5         |     2     |
|         30.5        |     2     |
|         2.83        |     2     |
|         4.43        |     2     |
|         50.0        |     2     |
|         14.6        |     2     |
|         7.43        |     2     |
|         4.86        |     2     |
|         41.0        |     2     |
|         6.86        |     2     |
|         7.86        |     2     |
|         39.0        |     2     |
|         15.4        |     2     |
|        19.75        |     2     |
|         6.43        |     2     |
|         3.83        |     2     |
|         2.5         |     2     |
|         8.57        |     2     |
|         16.8        |     1     |
|        12.17        |     1     |
|         3.25        |     1     |
|         15.6        |     1     |
|        11.71        |     1     |
|         27.5        |     1     |
|         9.86        |     1     |
|        13.29        |     1     |
|         9.38        |     1     |
|         8.29        |     1     |
|         5.71        |     1     |
|         9.43        |     1     |
|         3.38        |     1     |
|         4.17        |     1     |
|         3.17        |     1     |
|         8.43        |     1     |
|        28.33        |     1     |
|         5.29        |     1     |
|         17.6        |     1     |
|        18.25        |     1     |
|         13.6        |     1     |
|         17.4        |     1     |
|         17.2        |     1     |
|        13.71        |     1     |
|         6.88        |     1     |
|         9.29        |     1     |
|        25.67        |     1     |
|         16.4        |     1     |
|        23.25        |     1     |
|         4.29        |     1     |
|         3.67        |     1     |
|         7.29        |     1     |
|         5.57        |     1     |
|        10.57        |     1     |
|         9.57        |     1     |
|        22.67        |     1     |
|         37.5        |     1     |
|         45.0        |     1     |
|        24.67        |     1     |
|        12.83        |     1     |
|         5.62        |     1     |
|         14.4        |     1     |
|         3.29        |     1     |
|         15.8        |     1     |
|         18.4        |     1     |
+---------------------+-----------+
