+-------------------+-------+
| num_cap_per_image | count |
|        276        |   25  |
|        252        |   24  |
|        258        |   23  |
|        254        |   22  |
|        264        |   22  |
|        283        |   22  |
|        266        |   22  |
|        285        |   21  |
|        280        |   21  |
|        263        |   20  |
|        257        |   20  |
|        286        |   20  |
|        294        |   20  |
|        287        |   19  |
|        308        |   18  |
|        278        |   18  |
|        269        |   18  |
|        273        |   18  |
|        322        |   18  |
|        274        |   17  |
|         65        |   17  |
|        296        |   16  |
|        290        |   16  |
|        298        |   16  |
|        272        |   16  |
|        282        |   15  |
|        275        |   15  |
|        302        |   15  |
|        292        |   14  |
|        318        |   14  |
|        281        |   14  |
|        293        |   13  |
|        289        |   13  |
|        303        |   12  |
|        307        |   12  |
|        270        |   12  |
|        299        |   12  |
|        277        |   12  |
|        288        |   11  |
|        301        |   11  |
|        295        |   11  |
|        291        |   11  |
|        300        |   11  |
|         64        |   11  |
|        316        |   11  |
|        348        |   11  |
|        324        |   10  |
|        306        |   10  |
|        327        |   10  |
|        317        |   9   |
|        297        |   9   |
|        319        |   9   |
|        314        |   8   |
|        326        |   8   |
|        323        |   8   |
|        310        |   8   |
|        312        |   8   |
|        330        |   8   |
|        329        |   8   |
|        315        |   7   |
|        345        |   7   |
|        325        |   7   |
|        304        |   7   |
|        335        |   7   |
|        311        |   7   |
|        309        |   7   |
|        364        |   6   |
|        331        |   6   |
|        337        |   6   |
|        338        |   6   |
|        347        |   6   |
|        346        |   6   |
|        313        |   6   |
|        343        |   6   |
|        328        |   5   |
|        366        |   5   |
|        321        |   5   |
|        341        |   5   |
|        333        |   5   |
|        351        |   5   |
|        349        |   5   |
|        339        |   5   |
|        320        |   5   |
|        359        |   4   |
|        336        |   4   |
|        365        |   4   |
|        334        |   4   |
|        305        |   4   |
|        374        |   4   |
|        344        |   4   |
|        360        |   4   |
|        372        |   4   |
|        380        |   3   |
|        367        |   3   |
|        354        |   3   |
|        356        |   3   |
|        361        |   3   |
|        355        |   3   |
|        342        |   3   |
|         62        |   3   |
|        350        |   3   |
|        353        |   2   |
|        352        |   2   |
|        340        |   2   |
|        390        |   2   |
|        407        |   2   |
|        387        |   2   |
|        406        |   2   |
|        370        |   2   |
|         63        |   2   |
|        398        |   2   |
|        332        |   2   |
|        415        |   2   |
|        467        |   2   |
|        357        |   2   |
|        369        |   2   |
|        362        |   2   |
|        394        |   2   |
|        400        |   2   |
|        399        |   2   |
|        453        |   1   |
|        417        |   1   |
|        426        |   1   |
|        392        |   1   |
|        384        |   1   |
|        458        |   1   |
|        452        |   1   |
|        421        |   1   |
|        418        |   1   |
|        434        |   1   |
|        363        |   1   |
|        404        |   1   |
|        469        |   1   |
|        495        |   1   |
|        377        |   1   |
|        440        |   1   |
|        375        |   1   |
|        416        |   1   |
|        371        |   1   |
|        427        |   1   |
|        443        |   1   |
|        412        |   1   |
|        389        |   1   |
|        500        |   1   |
|        424        |   1   |
|        463        |   1   |
|        378        |   1   |
|        382        |   1   |
|        393        |   1   |
|        395        |   1   |
|        435        |   1   |
|        411        |   1   |
|        385        |   1   |
|        401        |   1   |
|        473        |   1   |
+-------------------+-------+
